"","study.accession","experiment.accession","source_name","tissue"
"1","SRP042620","SRX559803","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"2","SRP042620","SRX559841","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor"
"3","SRP042620","SRX559742","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"4","SRP042620","SRX559866","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor"
"5","SRP042620","SRX559790","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"6","SRP042620","SRX559756","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"7","SRP042620","SRX559782","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"8","SRP042620","SRX559778","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"9","SRP042620","SRX559857","Reduction Mammoplasty - No known cancer","Reduction Mammoplasty - No known cancer"
"10","SRP042620","SRX559814","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"11","SRP042620","SRX559818","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"12","SRP042620","SRX559731","Breast Cancer Cell Line","Breast Cancer Cell Line"
"13","SRP042620","SRX559842","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor"
"14","SRP042620","SRX559809","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"15","SRP042620","SRX559871","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor"
"16","SRP042620","SRX559767","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"17","SRP042620","SRX559810","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"18","SRP042620","SRX559736","Breast Cancer Cell Line","Breast Cancer Cell Line"
"19","SRP042620","SRX559745","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"20","SRP042620","SRX559764","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"21","SRP042620","SRX559807","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"22","SRP042620","SRX559735","Breast Cancer Cell Line","Breast Cancer Cell Line"
"23","SRP042620","SRX559746","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"24","SRP042620","SRX559836","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor"
"25","SRP042620","SRX559827","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor","Uninvolved Breast Tissue Adjacent to ER+ Primary Tumor"
"26","SRP042620","SRX559861","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor"
"27","SRP042620","SRX559738","Breast Cancer Cell Line","Breast Cancer Cell Line"
"28","SRP042620","SRX559870","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor"
"29","SRP042620","SRX559785","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"30","SRP042620","SRX559776","ER+ Breast Cancer Primary Tumor","ER+ Breast Cancer Primary Tumor"
"31","SRP042620","SRX559860","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor","Uninvolved Breast Tissue Adjacent to TNBC Primary Tumor"
"32","SRP042620","SRX559813","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
"33","SRP042620","SRX559789","Triple Negative Breast Cancer Primary Tumor","Triple Negative Breast Cancer Primary Tumor"
