"","study.accession","experiment.accession","source_name","tissue","diagnosis"
"1","SRP068976","SRX1550047","Liver","liver","Tumor"
"2","SRP068976","SRX1549985","Liver","liver","Normal"
"3","SRP068976","SRX1550001","Liver","liver","Normal"
"4","SRP068976","SRX1550027","Liver","liver","Normal"
"5","SRP068976","SRX1550034","Liver","liver","Tumor"
"6","SRP068976","SRX1549989","Liver","liver","Normal"
"7","SRP068976","SRX1549984","Liver","liver","Normal"
"8","SRP068976","SRX1550082","Liver","liver","Tumor"
"9","SRP068976","SRX1550007","Liver","liver","Normal"
"10","SRP068976","SRX1550051","Liver","liver","Tumor"
"11","SRP068976","SRX1550081","Liver","liver","Tumor"
"12","SRP068976","SRX1550065","Liver","liver","Tumor"
"13","SRP068976","SRX1550073","Liver","liver","Tumor"
"14","SRP068976","SRX1549987","Liver","liver","Normal"
"15","SRP068976","SRX1550078","Liver","liver","Tumor"
"16","SRP068976","SRX1550008","Liver","liver","Normal"
"17","SRP068976","SRX1550020","Liver","liver","Normal"
"18","SRP068976","SRX1550077","Liver","liver","Tumor"
"19","SRP068976","SRX1550010","Liver","liver","Normal"
"20","SRP068976","SRX1550031","Liver","liver","Normal"
"21","SRP068976","SRX1550040","Liver","liver","Tumor"
"22","SRP068976","SRX1550058","Liver","liver","Tumor"
"23","SRP068976","SRX1550067","Liver","liver","Tumor"
"24","SRP068976","SRX1549991","Liver","liver","Normal"
"25","SRP068976","SRX1550064","Liver","liver","Tumor"
"26","SRP068976","SRX1550068","Liver","liver","Tumor"
"27","SRP068976","SRX1549983","Liver","liver","Normal"
"28","SRP068976","SRX1550044","Liver","liver","Tumor"
"29","SRP068976","SRX1550006","Liver","liver","Normal"
"30","SRP068976","SRX1550021","Liver","liver","Normal"
"31","SRP068976","SRX1550037","Liver","liver","Tumor"
"32","SRP068976","SRX1549996","Liver","liver","Normal"
"33","SRP068976","SRX1550074","Liver","liver","Tumor"
"34","SRP068976","SRX1550054","Liver","liver","Tumor"
"35","SRP068976","SRX1550045","Liver","liver","Tumor"
"36","SRP068976","SRX1550012","Liver","liver","Normal"
"37","SRP068976","SRX1550017","Liver","liver","Normal"
"38","SRP068976","SRX1550057","Liver","liver","Tumor"
"39","SRP068976","SRX1550048","Liver","liver","Tumor"
"40","SRP068976","SRX1550028","Liver","liver","Normal"
"41","SRP068976","SRX1550050","Liver","liver","Tumor"
"42","SRP068976","SRX1550070","Liver","liver","Tumor"
"43","SRP068976","SRX1550023","Liver","liver","Normal"
"44","SRP068976","SRX1550003","Liver","liver","Normal"
"45","SRP068976","SRX1549986","Liver","liver","Normal"
"46","SRP068976","SRX1550041","Liver","liver","Tumor"
"47","SRP068976","SRX1550024","Liver","liver","Normal"
"48","SRP068976","SRX1550032","Liver","liver","Normal"
"49","SRP068976","SRX1549988","Liver","liver","Normal"
"50","SRP068976","SRX1550042","Liver","liver","Tumor"
"51","SRP068976","SRX1550071","Liver","liver","Tumor"
"52","SRP068976","SRX1550066","Liver","liver","Tumor"
"53","SRP068976","SRX1549997","Liver","liver","Normal"
"54","SRP068976","SRX1550026","Liver","liver","Normal"
"55","SRP068976","SRX1550072","Liver","liver","Tumor"
"56","SRP068976","SRX1550039","Liver","liver","Tumor"
"57","SRP068976","SRX1550018","Liver","liver","Normal"
"58","SRP068976","SRX1550046","Liver","liver","Tumor"
"59","SRP068976","SRX1550004","Liver","liver","Normal"
"60","SRP068976","SRX1550062","Liver","liver","Tumor"
"61","SRP068976","SRX1549995","Liver","liver","Normal"
"62","SRP068976","SRX1549998","Liver","liver","Normal"
"63","SRP068976","SRX1550013","Liver","liver","Normal"
"64","SRP068976","SRX1550033","Liver","liver","Tumor"
"65","SRP068976","SRX1550069","Liver","liver","Tumor"
"66","SRP068976","SRX1550016","Liver","liver","Normal"
"67","SRP068976","SRX1549993","Liver","liver","Normal"
"68","SRP068976","SRX1550014","Liver","liver","Normal"
"69","SRP068976","SRX1550079","Liver","liver","Tumor"
"70","SRP068976","SRX1550019","Liver","liver","Normal"
"71","SRP068976","SRX1550076","Liver","liver","Tumor"
"72","SRP068976","SRX1550000","Liver","liver","Normal"
"73","SRP068976","SRX1550011","Liver","liver","Normal"
"74","SRP068976","SRX1549994","Liver","liver","Normal"
"75","SRP068976","SRX1549990","Liver","liver","Normal"
"76","SRP068976","SRX1550009","Liver","liver","Normal"
"77","SRP068976","SRX1550056","Liver","liver","Tumor"
"78","SRP068976","SRX1550036","Liver","liver","Tumor"
"79","SRP068976","SRX1549999","Liver","liver","Normal"
"80","SRP068976","SRX1550063","Liver","liver","Tumor"
"81","SRP068976","SRX1550049","Liver","liver","Tumor"
"82","SRP068976","SRX1550035","Liver","liver","Tumor"
"83","SRP068976","SRX1550025","Liver","liver","Normal"
"84","SRP068976","SRX1549992","Liver","liver","Normal"
"85","SRP068976","SRX1550053","Liver","liver","Tumor"
"86","SRP068976","SRX1550052","Liver","liver","Tumor"
"87","SRP068976","SRX1550055","Liver","liver","Tumor"
"88","SRP068976","SRX1550043","Liver","liver","Tumor"
"89","SRP068976","SRX1550075","Liver","liver","Tumor"
"90","SRP068976","SRX1550030","Liver","liver","Normal"
"91","SRP068976","SRX1550022","Liver","liver","Normal"
"92","SRP068976","SRX1550015","Liver","liver","Normal"
"93","SRP068976","SRX1550005","Liver","liver","Normal"
"94","SRP068976","SRX1550059","Liver","liver","Tumor"
"95","SRP068976","SRX1550029","Liver","liver","Normal"
"96","SRP068976","SRX1550080","Liver","liver","Tumor"
"97","SRP068976","SRX1550038","Liver","liver","Tumor"
"98","SRP068976","SRX1550061","Liver","liver","Tumor"
"99","SRP068976","SRX1550002","Liver","liver","Normal"
