"","study.accession","experiment.accession","source_name","sample.pool.name","sample.type","cell.line","disease.state","patient.id","ets.fusion.status","tissue.harvest.site"
"1","SRP004637","SRX031918","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","Metastatic Site"
"2","SRP004637","SRX031953","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"3","SRP004637","SRX031937","prostate gland","PC3","Cell Line","PC3","cancer","NA","ETS-","None"
"4","SRP004637","SRX031913","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","None"
"5","SRP004637","SRX031926","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"6","SRP004637","SRX031909","prostate gland","C4-2B","Cell Line","C4-2B","cancer","NA","ETV1+","None"
"7","SRP004637","SRX031945","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"8","SRP004637","SRX031948","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"9","SRP004637","SRX031911","prostate gland","CWR22","Cell Line","CWR22","cancer","NA","ETS-","None"
"10","SRP004637","SRX031964","prostate gland","WPMY-1","Cell Line","prostate cancer","benign","NA","ETS-","None"
"11","SRP004637","SRX031929","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"12","SRP004637","SRX031923","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"13","SRP004637","SRX031922","prostate gland","LAPC-4","Cell Line","LAPC-4","cancer","NA","ETV1+","None"
"14","SRP004637","SRX031939","prostate gland","PrEC","Cell Line","PrEC","benign","NA","ETS-","None"
"15","SRP004637","SRX031912","prostate gland","DU145","Cell Line","DU145","cancer","NA","ETS-","None"
"16","SRP004637","SRX031931","prostate gland","LNCaP CDS1","Cell Line","LNCaP CDS1","cancer","NA","ETV1+","Lymph node"
"17","SRP004637","SRX031956","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
"18","SRP004637","SRX031908","prostate gland","22Rv1","Cell Line","22Rv1","cancer","NA","ETS-","None"
"19","SRP004637","SRX031924","prostate gland","LNCaP","Cell Line","LNCaP","cancer","NA","ETV1+","None"
"20","SRP004637","SRX031947","prostate gland","RWPE","Cell Line","RWPE","benign","NA","ETS-","None"
"21","SRP004637","SRX031958","prostate gland","VCaP","Cell Line","prostate cancer","cancer","PATIENT_1","ERG+","None"
