"","study.accession","experiment.accession","source_name","cell.line","tissue","irradiation"
"1","SRP075613","SRX1796367","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"2","SRP075613","SRX1796567","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"3","SRP075613","SRX1796616","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"4","SRP075613","SRX1796613","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"5","SRP075613","SRX1796467","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"6","SRP075613","SRX1796408","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"7","SRP075613","SRX1796390","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"8","SRP075613","SRX1796491","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"9","SRP075613","SRX1796642","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"10","SRP075613","SRX1796350","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"11","SRP075613","SRX1796460","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"12","SRP075613","SRX1796515","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"13","SRP075613","SRX1796607","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"14","SRP075613","SRX1796416","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"15","SRP075613","SRX1796652","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"16","SRP075613","SRX1796650","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"17","SRP075613","SRX1796531","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"18","SRP075613","SRX1796439","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"19","SRP075613","SRX1796495","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"20","SRP075613","SRX1796412","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"21","SRP075613","SRX1796507","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"22","SRP075613","SRX1796585","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"23","SRP075613","SRX1796644","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"24","SRP075613","SRX1796596","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"25","SRP075613","SRX1796552","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"26","SRP075613","SRX1796573","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"27","SRP075613","SRX1796397","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"28","SRP075613","SRX1796597","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"29","SRP075613","SRX1796478","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
