"","study.accession","experiment.accession","source_name","tissue","tissue.type","tissue.archive.method","subtypes","insert.size"
"1","SRP049097","SRX737039","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","156"
"2","SRP049097","SRX737071","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","136"
"3","SRP049097","SRX737070","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","141"
"4","SRP049097","SRX737075","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","148"
"5","SRP049097","SRX737028","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","138"
"6","SRP049097","SRX737035","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","143"
"7","SRP049097","SRX737041","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","144"
"8","SRP049097","SRX737031","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","145"
"9","SRP049097","SRX737044","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","147"
"10","SRP049097","SRX737043","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","148"
"11","SRP049097","SRX737063","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","151"
"12","SRP049097","SRX737030","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","148"
"13","SRP049097","SRX737026","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","135"
"14","SRP049097","SRX737057","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","151"
"15","SRP049097","SRX737056","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","142"
"16","SRP049097","SRX737076","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","148"
"17","SRP049097","SRX737045","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","153"
"18","SRP049097","SRX737054","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","146"
"19","SRP049097","SRX737052","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","II","145"
"20","SRP049097","SRX737048","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","147"
"21","SRP049097","SRX737069","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","141"
"22","SRP049097","SRX737078","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","137"
"23","SRP049097","SRX737068","normal skeletal muscle","Soft Tissue","normal skeletal muscle","FFPE","Unknown","139"
"24","SRP049097","SRX737066","normal lung","Soft Tissue","normal lung","FFPE","Unknown","142"
"25","SRP049097","SRX737042","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","144"
"26","SRP049097","SRX737032","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","145"
"27","SRP049097","SRX737072","normal smooth muscle","Soft Tissue","normal smooth muscle","FFPE","Unknown","136"
"28","SRP049097","SRX737047","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","146"
"29","SRP049097","SRX737036","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","I","143"
"30","SRP049097","SRX737062","leimyosarcoma","Soft Tissue","leimyosarcoma","FFPE","III","148"
