"","study.accession","experiment.accession","source_name"
"1","SRP009408","SRX107235","Lung tissue"
"2","SRP009408","SRX107282","Lung tissue"
"3","SRP009408","SRX107266","Lung tissue"
"4","SRP009408","SRX107275","Lung tissue"
"5","SRP009408","SRX107222","Lung tissue"
"6","SRP009408","SRX107243","Lung tissue"
"7","SRP009408","SRX107263","Lung tissue"
"8","SRP009408","SRX107248","Lung tissue"
"9","SRP009408","SRX107227","Lung tissue"
"10","SRP009408","SRX107226","Lung tissue"
"11","SRP009408","SRX107229","Lung tissue"
"12","SRP009408","SRX107236","Lung tissue"
"13","SRP009408","SRX107232","Lung tissue"
"14","SRP009408","SRX107246","Lung tissue"
"15","SRP009408","SRX107234","Lung tissue"
"16","SRP009408","SRX107273","Lung tissue"
"17","SRP009408","SRX107259","Lung tissue"
"18","SRP009408","SRX107250","Lung tissue"
"19","SRP009408","SRX107251","Lung tissue"
"20","SRP009408","SRX107279","Lung tissue"
"21","SRP009408","SRX107249","Lung tissue"
"22","SRP009408","SRX107262","Lung tissue"
"23","SRP009408","SRX107274","Lung tissue"
"24","SRP009408","SRX107267","Lung tissue"
"25","SRP009408","SRX107283","Lung tissue"
"26","SRP009408","SRX107225","Lung tissue"
"27","SRP009408","SRX107260","Lung tissue"
"28","SRP009408","SRX107277","Lung tissue"
"29","SRP009408","SRX107257","Lung tissue"
"30","SRP009408","SRX107244","Lung tissue"
"31","SRP009408","SRX107280","Lung tissue"
"32","SRP009408","SRX107241","Lung tissue"
"33","SRP009408","SRX107239","Lung tissue"
"34","SRP009408","SRX107247","Lung tissue"
"35","SRP009408","SRX107254","Lung tissue"
"36","SRP009408","SRX107238","Lung tissue"
"37","SRP009408","SRX107255","Lung tissue"
"38","SRP009408","SRX107223","Lung tissue"
"39","SRP009408","SRX107265","Lung tissue"
"40","SRP009408","SRX107264","Lung tissue"
"41","SRP009408","SRX107276","Lung tissue"
"42","SRP009408","SRX107237","Lung tissue"
"43","SRP009408","SRX107281","Lung tissue"
"44","SRP009408","SRX107270","Lung tissue"
"45","SRP009408","SRX107224","Lung tissue"
"46","SRP009408","SRX107278","Lung tissue"
"47","SRP009408","SRX107268","Lung tissue"
"48","SRP009408","SRX107261","Lung tissue"
"49","SRP009408","SRX107231","Lung tissue"
"50","SRP009408","SRX107233","Lung tissue"
"51","SRP009408","SRX107269","Lung tissue"
"52","SRP009408","SRX107240","Lung tissue"
"53","SRP009408","SRX107230","Lung tissue"
"54","SRP009408","SRX107258","Lung tissue"
"55","SRP009408","SRX107256","Lung tissue"
"56","SRP009408","SRX107242","Lung tissue"
"57","SRP009408","SRX107272","Lung tissue"
"58","SRP009408","SRX107252","Lung tissue"
"59","SRP009408","SRX107245","Lung tissue"
"60","SRP009408","SRX107228","Lung tissue"
"61","SRP009408","SRX107253","Lung tissue"
"62","SRP009408","SRX107271","Lung tissue"
